Date,close,oil price
2022/1/5,43569.00391,80.6
2022/1/6,43160.92969,81.99
2022/1/7,41557.90234,82.28
2022/1/10,41821.26172,81.56
2022/1/11,42735.85547,84.98
2022/1/12,43949.10156,85.83
2022/1/13,42591.57031,85.8
2022/1/14,43099.69922,87.17
2022/1/17,42250.55078,87.82
2022/1/18,42375.63281,88.83
2022/1/19,41744.32813,89.64
2022/1/20,40680.41797,89.75
2022/1/21,36457.31641,89.75
2022/1/24,36654.32813,87.74
2022/1/25,36954.00391,89.49
2022/1/26,36852.12109,91.22
2022/1/27,37138.23438,90.7
2022/1/28,37784.33203,91.47
2022/1/31,38483.125,92.35
2022/2/1,38743.27344,90.24
2022/2/2,36952.98438,91.43
2022/2/3,37154.60156,92.99
2022/2/4,41500.875,96.86
2022/2/7,43840.28516,97.28
2022/2/8,44118.44531,96.07
2022/2/9,44338.79688,94.95
2022/2/10,43565.11328,96.37
2022/2/11,42407.9375,97.5
2022/2/14,42586.91797,101.66
2022/2/15,44575.20313,98.43
2022/2/16,43961.85938,97.44
2022/2/17,40538.01172,95.28
2022/2/18,40030.97656,96.18
2022/2/21,37075.28125,98.95
2022/2/22,38286.02734,98.73
2022/2/23,37296.57031,99.29
2022/2/24,38332.60938,101.29
2022/2/25,39214.21875,98.56
2022/2/28,43193.23438,103.08
2022/3/1,44354.63672,110.93
2022/3/2,43924.11719,118.94
2022/3/3,42451.78906,115.36
2022/3/4,39137.60547,123.86
2022/3/7,38062.03906,129.02
2022/3/8,38737.26953,133.18
2022/3/9,41982.92578,116.58
2022/3/10,39437.46094,114.54
2022/3/11,38794.97266,118.11
2022/3/14,39666.75391,110.39
2022/3/15,39338.78516,105.14
2022/3/16,41143.92969,104.61
2022/3/17,40951.37891,113.5
2022/3/18,41801.15625,114.32
2022/3/21,41077.99609,122.29
2022/3/22,42358.80859,121.53
2022/3/23,42892.95703,127.52
2022/3/24,43960.93359,123.98
2022/3/25,44348.73047,122.67
2022/3/28,47128.00391,114.5
2022/3/29,47465.73047,112.79
2022/3/30,47062.66406,115.59
2022/3/31,45538.67578,107.29
2022/4/1,46281.64453,106.13
2022/4/4,46622.67578,108.15
2022/4/5,45555.99219,106.6
2022/4/6,43206.73828,100.81
2022/4/7,43503.84766,99.83
2022/4/8,42287.66406,101.26
2022/4/11,39521.90234,97.92
2022/4/12,40127.18359,104.42
2022/4/13,41166.73047,108.49
2022/4/14,39935.51563,110.83
2022/4/19,41502.75,105.49
2022/4/20,41374.37891,105.05
2022/4/21,40527.36328,107.2
2022/4/22,39740.32031,105.15
2022/4/25,40458.30859,99.27
2022/4/26,38117.46094,102.89
2022/4/27,39241.12109,103.3
2022/4/28,39773.82813,105.78
2022/4/29,38609.82422,108.36
2022/5/3,37750.45313,104.94
2022/5/4,39698.37109,110.53
2022/5/5,36575.14063,112.11
2022/5/6,36040.92188,113.86
2022/5/9,30296.95313,106.67
2022/5/10,31022.90625,102.61
2022/5/11,28936.35547,107.7
2022/5/12,29047.75195,108.06
2022/5/13,29283.10352,112.12
2022/5/16,29862.91797,114.86
2022/5/17,30425.85742,112.89
2022/5/18,28720.27148,110.04
2022/5/19,30314.33398,113.22
2022/5/20,29200.74023,113.63
2022/5/23,29098.91016,115.13
2022/5/24,29655.58594,115.77
2022/5/25,29562.36133,116.41
2022/5/26,29267.22461,119.81
2022/5/27,28627.57422,121.19
2022/5/30,31726.39063,123.01
2022/5/31,31792.31055,125.53
2022/6/1,29799.08008,122.2
2022/6/3,29704.39063,125.68
2022/6/6,31370.67188,124.99
2022/6/7,31155.47852,126.89
2022/6/8,30214.35547,129.2
2022/6/9,30111.99805,128.47
2022/6/10,29083.80469,127.44
2022/6/13,22487.38867,128.44
2022/6/14,22206.79297,127.02
2022/6/15,22572.83984,124.96
2022/6/16,20381.65039,125.78
2022/6/17,20471.48242,119.22
2022/6/20,20599.53711,118.25
2022/6/21,20710.59766,118.51
2022/6/22,19987.0293,115.54
2022/6/23,21085.87695,114.5
2022/6/24,21231.65625,117.36
2022/6/27,20735.47852,119.69
2022/6/28,20280.63477,122.21
2022/6/29,20104.02344,120.8
2022/6/30,19784.72656,119.78
2022/7/1,19269.36719,119.21
2022/7/4,20231.26172,121.8
2022/7/5,20190.11523,110.49
2022/7/6,20548.24609,108.54
2022/7/7,21637.58789,113.4
2022/7/8,21731.11719,113.95
2022/7/11,19970.55664,114.85
2022/7/12,19323.91406,106.98
2022/7/13,20212.07422,107.17
2022/7/14,20569.91992,107.74
2022/7/15,20836.32813,112.26
2022/7/18,22485.68945,117.27
2022/7/19,23389.43359,114.96
2022/7/20,23231.73242,115.86
2022/7/21,23164.62891,112.81
2022/7/22,22714.97852,106.77
2022/7/25,21361.70117,108.23
2022/7/26,21239.75391,107.32
2022/7/27,22930.54883,109.64
2022/7/28,23843.88672,109.68
2022/7/29,23804.63281,111.51
2022/8/1,23314.19922,106.09
2022/8/2,22978.11719,106.51
2022/8/3,22846.50781,101.82
2022/8/4,22630.95703,97.99
2022/8/5,23289.31445,100.31
2022/8/8,23809.48633,103.46
2022/8/9,23164.31836,103.81
2022/8/10,23947.64258,105.06
2022/8/11,23957.5293,107.19
2022/8/12,24402.81836,103.7
2022/8/15,24136.97266,98.25
2022/8/16,23883.29102,95.36
2022/8/17,23335.99805,97.22
2022/8/18,23212.73828,96.35
2022/8/19,20877.55273,96.45
2022/8/22,21398.9082,95.06
